Общее кол-во колл,Год,Квартал,Месяц,День
9927,2024,Кв. 1,Январь,29
10145,2024,Кв. 1,Февраль,1
4329,2024,Кв. 1,Февраль,2
4321,2024,Кв. 1,Февраль,5
4321,2024,Кв. 1,Февраль,6
4905,2024,Кв. 1,Февраль,7
4934,2024,Кв. 1,Февраль,8
4934,2024,Кв. 1,Февраль,9
4938,2024,Кв. 1,Февраль,12
4966,2024,Кв. 1,Февраль,13
5688,2024,Кв. 1,Февраль,14
5673,2024,Кв. 1,Февраль,15
5719,2024,Кв. 1,Февраль,16
5752,2024,Кв. 1,Февраль,20
5808,2024,Кв. 1,Февраль,21
1498,2024,Кв. 1,Февраль,22
1943,2024,Кв. 1,Февраль,26
184,2024,Кв. 1,Февраль,27
213,2024,Кв. 1,Март,1
239,2024,Кв. 1,Март,4
242,2024,Кв. 1,Март,13
470,2024,Кв. 1,Март,15
470,2024,Кв. 1,Март,18
471,2024,Кв. 1,Март,19
489,2024,Кв. 1,Март,21
359,2024,Кв. 1,Март,25
361,2024,Кв. 1,Март,26
372,2024,Кв. 1,Март,27
1724,2024,Кв. 1,Март,28
2820,2024,Кв. 2,Апрель,1
2231,2024,Кв. 2,Апрель,3
1761,2024,Кв. 2,Апрель,4
1491,2024,Кв. 2,Апрель,5
1520,2024,Кв. 2,Апрель,8
1182,2024,Кв. 2,Апрель,10
1177,2024,Кв. 2,Апрель,11
1545,2024,Кв. 2,Апрель,12
1372,2024,Кв. 2,Апрель,16
940,2024,Кв. 2,Апрель,18
940,2024,Кв. 2,Апрель,19
914,2024,Кв. 2,Апрель,22
581,2024,Кв. 2,Апрель,23
529,2024,Кв. 2,Апрель,25
528,2024,Кв. 2,Апрель,26
531,2024,Кв. 2,Апрель,27
536,2024,Кв. 2,Май,2
473,2024,Кв. 2,Май,3
365,2024,Кв. 2,Май,6
424,2024,Кв. 2,Май,7
362,2024,Кв. 2,Май,8
291,2024,Кв. 2,Май,13
292,2024,Кв. 2,Май,14
276,2024,Кв. 2,Май,15
209,2024,Кв. 2,Май,16
249,2024,Кв. 2,Май,17
214,2024,Кв. 2,Май,20
187,2024,Кв. 2,Май,21
177,2024,Кв. 2,Май,22
163,2024,Кв. 2,Май,23
156,2024,Кв. 2,Май,27
137,2024,Кв. 2,Май,28
140,2024,Кв. 2,Май,29
112,2024,Кв. 2,Май,30
113,2024,Кв. 2,Май,31
119,2024,Кв. 2,Июнь,3
108,2024,Кв. 2,Июнь,4
108,2024,Кв. 2,Июнь,5
566,2024,Кв. 2,Июнь,6
566,2024,Кв. 2,Июнь,7
566,2024,Кв. 2,Июнь,10
566,2024,Кв. 2,Июнь,11
567,2024,Кв. 2,Июнь,13
567,2024,Кв. 2,Июнь,14
567,2024,Кв. 2,Июнь,17
567,2024,Кв. 2,Июнь,18
567,2024,Кв. 2,Июнь,19
566,2024,Кв. 2,Июнь,20
301,2024,Кв. 2,Июнь,21
240,2024,Кв. 2,Июнь,23
240,2024,Кв. 2,Июнь,24
239,2024,Кв. 2,Июнь,25
241,2024,Кв. 2,Июнь,26
241,2024,Кв. 2,Июнь,27
241,2024,Кв. 2,Июнь,28
118,2024,Кв. 3,Июль,1
49,2024,Кв. 3,Июль,8
46,2024,Кв. 3,Июль,9
47,2024,Кв. 3,Июль,10
47,2024,Кв. 3,Июль,11
47,2024,Кв. 3,Июль,12
48,2024,Кв. 3,Июль,15
53,2024,Кв. 3,Июль,16
53,2024,Кв. 3,Июль,17
53,2024,Кв. 3,Июль,18
53,2024,Кв. 3,Июль,19
53,2024,Кв. 3,Июль,22
53,2024,Кв. 3,Июль,25
53,2024,Кв. 3,Июль,30
218,2024,Кв. 3,Сентябрь,12
218,2024,Кв. 3,Сентябрь,18
228,2024,Кв. 3,Сентябрь,20
228,2024,Кв. 3,Сентябрь,23
222,2024,Кв. 3,Сентябрь,26
216,2024,Кв. 3,Сентябрь,27
144,2024,Кв. 3,Сентябрь,30
176,2024,Кв. 4,Октябрь,1
